KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-poËet parcel;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-poËet parcel;Chmelnice(3)-v˝mÏra;Vinice(4)-poËet parcel;Vinice(4)-v˝mÏra;Zahrada(5)-poËet parcel;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-poËet parcel;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-poËet parcel;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-poËet parcel;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-poËet parcel;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-poËet parcel;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-poËet parcel;OstatnÌ plocha(14)-v˝mÏra
603392;BezdÏËÌ u Velk˝ch Opatovic;615;2543506;72;750226;0;0;0;0;51;30407;4;10436;174;815574;109;783367;3;1639;41;17535;161;134322;
603406;BezdÏËÌn u Jablonce nad Nisou;1264;4893641;123;1488440;0;0;0;0;156;142449;14;51698;321;1405689;165;1158719;13;28109;140;36032;332;582505;
603414;JÌlovÈ u Hodkovic nad Mohelkou;566;1501322;49;595807;0;0;0;0;111;78778;2;6453;119;343675;33;156942;10;21962;118;28467;124;269238;
603431;BezdÏËÌn na MoravÏ;691;3542542;176;1687539;0;0;0;0;55;32557;0;0;175;477056;32;1014862;49;87216;77;47243;127;196069;
603449;BezdÏdice;715;4047516;165;2558712;0;0;0;0;79;71697;0;0;51;185991;165;964251;13;20232;107;39172;135;207461;
603457;BezdÏdovice;1831;5813644;468;1646153;0;0;0;0;194;129771;2;8518;302;631770;102;2853625;101;139400;237;84038;425;320369;
603481;BezdÏkov u Klatov;2462;6421038;588;3440344;0;0;0;0;360;214749;3;16449;488;1704226;26;189613;160;162654;394;155547;443;537456;
603490;Koryta u BezdÏkova;1822;4173269;737;2278872;0;0;0;0;113;57057;0;0;313;885014;81;609554;84;24484;118;64813;376;253475;
603503;Struhadlo;780;2811168;234;1124058;0;0;0;0;77;111688;0;0;121;485349;21;936963;37;8859;78;21390;212;122861;
603511;TetÏtice u BezdÏkova;721;1513454;226;903945;0;0;0;0;34;29501;10;30292;174;400969;10;23093;17;7571;33;18030;217;100053;
603538;BezdÏkov u Kasejovic;875;4989572;174;2211117;0;0;0;0;83;50504;3;5090;124;783341;166;1131416;30;404076;90;40998;205;363030;
603546;BezdÏkov u éatce;1159;3837150;317;1460693;56;184078;0;0;88;49307;1;4811;16;39296;68;197290;45;64103;272;87693;296;1749879;
603554;BezdÏkov u Kr·snÈ Hory;813;3776633;233;1751132;0;0;0;0;66;29954;0;0;218;427053;86;1405142;31;24324;81;31672;98;107356;
603571;BezdÏkov;642;5274310;79;3082369;0;0;0;0;191;99503;7;9901;27;95190;36;1706576;22;16092;157;82544;123;182135;
603589;BezdÏkov u VelkÈ BÌteöe;645;2200771;309;1238704;0;0;0;0;52;42127;0;0;112;183608;32;578122;7;7584;62;27253;71;123373;
603597;BezdÏkov nad MetujÌ;1792;5171250;386;1617019;0;0;0;0;221;179322;6;34909;480;1619159;97;1198262;15;34095;304;109959;283;378525;
603601;BezdÏkov pod T¯emöÌnem;1119;3633172;261;1413381;0;0;0;0;87;43801;0;0;208;780973;52;1054159;67;44927;157;40015;287;255916;
603619;Vöevily;1400;5825890;404;1991477;0;0;0;0;120;58211;3;11059;312;929922;52;2491500;91;41377;131;45902;287;256442;
603627;TÏchnice;363;10345199;2;15784;0;0;0;0;11;6801;0;0;45;95180;172;7472496;5;2659669;57;5403;71;89866;
603635;BezdÏkov u Libice nad Doubravou;838;5352836;171;2813521;0;0;0;0;124;69441;4;31983;127;877751;50;864884;39;142385;152;73780;171;479091;
603643;Kladruby u Libice;338;1525168;48;615580;0;0;0;0;55;42702;0;0;57;340955;39;426275;5;4154;41;15189;93;80313;
603651;MalochynÏ;183;2396675;18;354982;0;0;0;0;7;10592;0;0;26;384469;23;1443965;11;32514;33;13917;65;156236;
603660;Sloupno u ChotÏbo¯e;346;1858847;18;648006;0;0;0;0;51;33362;5;48854;70;614028;30;308802;7;12713;56;20243;109;172839;
603686;BezdÏz;1428;23981746;162;4295462;0;0;0;0;222;150137;2;27734;198;680629;200;17734287;5;7037;237;100547;402;985913;
603694;Bezdruûice;1500;8369612;162;2657346;0;0;0;0;206;142720;0;0;275;1887291;74;2823356;28;70194;405;128507;350;660198;
603708;Polûice u Bezdruûic;358;3007468;45;1473194;0;0;0;0;57;57609;0;0;84;892987;20;397453;7;45895;54;22723;91;117607;
603724;Kohoutov u Bezdruûic;163;1851140;32;957761;0;0;0;0;13;9966;0;0;29;156431;23;647212;10;14197;14;8771;42;56802;
603732;K¯ivce;490;5677499;23;1450333;0;0;0;0;31;35468;0;0;111;802314;104;3097441;19;25993;77;27524;125;238426;
603741;Nov· Ves u Bezdruûic;215;1929733;34;1073561;0;0;0;0;45;46387;0;0;29;254325;10;389201;2;4464;41;32976;54;128819;
603767;PotÌn;173;1767363;16;887076;0;0;0;0;12;20994;0;0;25;196813;18;455094;10;31209;17;13343;75;162834;
603775;ÿeöÌn;330;5401959;8;372147;0;0;0;0;47;49099;0;0;41;1573754;25;2660053;32;386733;84;40962;93;319211;
603783;Zho¯ec u Bezdruûic;562;7699556;21;1822411;0;0;0;0;106;70257;0;0;85;1933871;82;3251904;28;157368;91;53110;149;410635;
603791;Bezkov;608;5633969;95;3854700;0;0;0;0;95;57944;0;0;64;179646;34;1126712;29;62661;160;75735;131;276571;
603805;BezmÏrov;1818;7252969;620;5227988;0;0;0;0;247;166176;3;12929;113;481951;117;58120;28;206951;275;105322;415;993532;
603813;BeznÌk;1198;2314949;82;692489;0;0;0;0;54;45349;12;10803;480;888412;158;529930;184;25479;39;19252;189;103235;
603821;Bezno;1519;9256743;316;7164307;0;0;0;0;282;191432;13;224050;23;81295;46;637535;5;15874;516;242653;318;699597;
603830;Bezuchov;823;3961500;322;2840484;0;0;0;0;117;99407;14;81526;41;122799;30;546129;17;10831;122;69468;160;190856;
603848;BezvÏrov;965;7111833;96;1148856;0;0;0;0;102;80020;0;0;215;1431595;73;3827389;8;25071;159;82821;312;516081;
603856;Kraöov;693;4270918;65;1736588;0;0;0;0;26;28875;0;0;134;632040;187;1426975;7;4524;56;27112;218;414804;
603864;Potok;379;2168357;30;1195183;0;0;0;0;12;11068;0;0;36;157959;185;686553;14;7035;24;12919;78;97640;
603872;Vlkoöov;1078;5336400;203;1884425;0;0;0;0;31;14913;4;24290;313;1091268;217;1861947;44;95339;55;39443;211;324775;
603881;BÌl· u »eskÈho Dubu;985;4541185;199;2551374;0;0;0;0;139;106099;0;0;141;495580;127;1039455;21;5690;163;69073;195;273914;
603902;VlËetÌn u BÌlÈ;1122;4148106;148;1188676;0;0;0;0;166;139993;6;23525;307;1175309;86;1373267;41;21250;116;38975;252;187111;
603911;BÌl·;2080;56463615;56;190396;0;0;0;0;76;60142;0;0;539;2329495;399;52433331;25;219122;459;113421;526;1117708;
603953;BÌl· Lhota;873;2302198;278;1238800;0;0;0;0;115;59269;0;0;89;203201;31;606931;57;10066;143;47832;160;136099;
603961;HrabÌ;515;1220263;205;987930;0;0;0;0;64;39162;0;0;40;68780;22;53647;2;2791;65;22249;117;45704;
603970;HradeËn· u BÌlÈ Lhoty;758;1987989;297;1434565;0;0;0;0;83;48598;3;13641;103;180028;45;161834;17;4480;81;38269;129;106574;
603988;Pate¯Ìn;651;1457413;245;775536;0;0;0;0;91;56308;0;0;68;172054;47;383939;72;12221;57;20253;71;37102;
604003;BÌl· T¯emeön·;2511;6093353;372;2265445;0;0;0;0;496;395722;66;151425;227;442540;147;1980083;46;233778;655;176320;502;448040;
604011;BÌl· Voda u JavornÌka;1203;12834034;98;1096109;0;0;0;0;178;174657;0;0;177;1681726;116;9368635;40;45317;223;87191;371;380399;
604020;KameniËka u BÌlÈ Vody;418;2169881;142;1618565;0;0;0;0;52;40698;0;0;39;179628;14;199380;41;29586;37;19174;93;82850;
604038;BÌlany;1167;8199893;262;3596495;0;0;0;0;165;132309;1;2838;15;68148;161;3526916;44;143599;192;89168;327;640420;
604046;BÌlavsko;1063;6585735;331;2696687;0;0;0;0;155;134178;4;12018;61;220253;60;2998853;32;34427;152;58835;268;430484;
